tensor,generator,component,singular_value,cum_var_frac
z,sd15,1,301.7705826154668,0.04060978525506912
z,sd15,2,256.36982940299447,0.06991944110519624
z,sd15,3,247.11084756357835,0.09715024802672308
z,sd15,4,242.01211560909044,0.12326892093342923
z,sd15,5,232.92903023725992,0.14746383742053923
z,sd15,6,226.33321581980346,0.17030790721645572
z,sd15,7,220.61998658165354,0.1920132474546588
z,sd15,8,219.8754049489514,0.2135723260058705
z,sd15,9,212.494770629371,0.2337083344114597
z,sd15,10,212.4192233678674,0.2538300276424023
z,sd15,11,210.5249049333812,0.2735944374426418
z,sd15,12,209.6934261631153,0.2932030344726893
z,sd15,13,207.82705999832143,0.31246413412446206
z,sd15,14,205.21171759715784,0.3312435120079938
z,sd15,15,203.62562011884162,0.3497337171738998
z,amused,1,445.0169951189833,0.08548478845853952
z,amused,2,286.0379674394321,0.12080172411416211
z,amused,3,260.06948186140875,0.1499971242830396
z,amused,4,251.13197735477254,0.17722035600526428
z,amused,5,241.54590837782337,0.20240495371281123
z,amused,6,238.6332931943715,0.22698585013326156
z,amused,7,228.42722074232168,0.24950911577615273
z,amused,8,220.91190590231125,0.2705747186425817
z,amused,9,216.8851356779325,0.2908793553939744
z,amused,10,213.03077763587024,0.3104687201473749
z,amused,11,210.63912082334636,0.3296207016808372
z,amused,12,209.90893979212794,0.3486401325744252
z,amused,13,208.3159736495666,0.3673719878295425
z,amused,14,204.674157249714,0.385454620875187
z,amused,15,203.97975734316606,0.40341476382774766
cond,sd15,1,165.7031506210521,0.02144845041439673
cond,sd15,2,164.9030144793681,0.042690263287912755
cond,sd15,3,163.92776635819973,0.06368156794481229
cond,sd15,4,163.67403872049263,0.08460794214595653
cond,sd15,5,162.4067379947457,0.1052115120780859
cond,sd15,6,160.28968301172375,0.12528142689660107
cond,sd15,7,159.60692477326242,0.14518072916545255
cond,sd15,8,159.33755352397415,0.1650129193514632
cond,sd15,9,158.46307655736018,0.18462802068754444
cond,sd15,10,157.9869221494059,0.20412541908750967
cond,sd15,11,157.06301016872007,0.22339544161496264
cond,sd15,12,156.9869642115618,0.2426468085398098
cond,sd15,13,156.35949266698398,0.26174458890470725
cond,sd15,14,156.02846478598983,0.2807615912416196
cond,sd15,15,155.31166605399267,0.2996042657497506
cond,amused,1,165.19430224998044,0.021467402856663036
cond,amused,2,163.81428062530145,0.04257762952536509
cond,amused,3,162.11895529904547,0.0632531747743253
cond,amused,4,161.1472960446279,0.0836816251487291
cond,amused,5,160.53653736385945,0.10395551867153735
cond,amused,6,160.0784817203397,0.12411388307052425
cond,amused,7,159.04680053582538,0.14401324965433038
cond,amused,8,158.56571058278064,0.16379241380263931
cond,amused,9,158.24851185189368,0.1834925236524441
cond,amused,10,157.14324421388227,0.20291840842346656
cond,amused,11,156.38600033336942,0.22215752487679818
cond,amused,12,156.18327342468262,0.24134679340795287
cond,amused,13,155.621081771242,0.2603981645799751
cond,amused,14,154.5369058088932,0.2791850074630321
cond,amused,15,154.05979099219323,0.29785602501367064
uncond,sd15,1,165.8516429979845,0.02149553124909788
uncond,sd15,2,164.96112933306443,0.04276084862931321
uncond,sd15,3,163.97199540767667,0.06377190993663885
uncond,sd15,4,163.43973876000342,0.08464678791036542
uncond,sd15,5,162.10520892578813,0.10518215955614595
uncond,sd15,6,160.28272367849044,0.12525838454637353
uncond,sd15,7,159.44031117788708,0.14512413122272896
uncond,sd15,8,159.24493527363535,0.16494122131839908
uncond,sd15,9,158.20771464817508,0.18450100019196788
uncond,sd15,10,157.89362312408963,0.20398319166935572
uncond,sd15,11,157.19655477992342,0.2232937430097049
uncond,sd15,12,156.9518087732886,0.24254421032165505
uncond,sd15,13,156.15939532968082,0.26160078599998976
uncond,sd15,14,156.00753973064977,0.28062031695664413
uncond,sd15,15,155.26258827242754,0.29945864129923766
uncond,amused,1,165.2680918237269,0.021493355706854508
uncond,amused,2,163.66635161335998,0.04257211300517458
uncond,amused,3,162.09016806432433,0.06324682868010063
uncond,amused,4,160.98221162510717,0.08363986908645633
uncond,amused,5,160.73130069157497,0.10396938882007584
uncond,amused,6,160.01190070599557,0.12411733437641473
uncond,amused,7,158.94226793941857,0.14399681400103279
uncond,amused,8,158.5334061137322,0.16377414954166358
uncond,amused,9,158.1907080173848,0.18346607305647397
uncond,amused,10,157.08252961148304,0.20288306602788403
uncond,amused,11,156.53773092435802,0.2221656072787385
uncond,amused,12,156.31461767402467,0.24139322088407972
uncond,amused,13,155.388274559131,0.260393618489167
uncond,amused,14,154.45999703123866,0.2791676803657299
uncond,amused,15,154.03740606429253,0.29783915392113336
guidance,sd15,1,19.45820774771645,0.049295631072992424
guidance,sd15,2,16.222361814807655,0.0835590681157088
guidance,sd15,3,16.02015256825321,0.11697365179812218
guidance,sd15,4,15.553178805675348,0.14846861379839968
guidance,sd15,5,14.90247918179619,0.17738338809343981
guidance,sd15,6,14.586869070423093,0.20508639616822466
guidance,sd15,7,14.419734099543634,0.23215820428317077
guidance,sd15,8,14.237831267848046,0.25855130667632914
guidance,sd15,9,13.78871773474452,0.28330559936961497
guidance,sd15,10,13.512468000744356,0.30707794938269506
guidance,sd15,11,13.429287053494965,0.3305585214219869
guidance,sd15,12,13.221502276197326,0.3533181079083827
guidance,sd15,13,13.141834466428051,0.375804239303478
guidance,sd15,14,12.952903429421834,0.39764848306858813
guidance,sd15,15,12.908970305409795,0.4193447973190514
guidance,amused,1,16.639659763092865,0.04342060337139965
guidance,amused,2,16.539573932753854,0.08632043679027379
guidance,amused,3,14.08823168802987,0.11744619509425215
guidance,amused,4,13.695116307694875,0.14685913395369435
guidance,amused,5,13.578747152785715,0.17577434545513845
guidance,amused,6,13.36613875937126,0.20379116940577788
guidance,amused,7,13.181639874188049,0.23103987365516798
guidance,amused,8,12.841314080890823,0.25689971803561895
guidance,amused,9,12.779491256558062,0.2825111641335235
guidance,amused,10,12.642854413180366,0.3075778687968681
guidance,amused,11,12.50949228045568,0.3321185343759549
guidance,amused,12,12.343365977054386,0.3560117268777296
guidance,amused,13,11.856676878413845,0.3780578860853196
guidance,amused,14,11.741447256550728,0.3996776144700435
guidance,amused,15,11.557679200568352,0.4206258882910046
dz,sd15,1,51.33514837931252,0.06306335347162048
dz,sd15,2,40.05046067168616,0.10144843342348818
dz,sd15,3,38.369663527580826,0.13667930598370842
dz,sd15,4,36.99745180991393,0.16943531969468717
dz,sd15,5,35.0085765843261,0.19876425679273857
dz,sd15,6,32.94263560725727,0.2247337875605367
dz,sd15,7,32.09140983057421,0.2493785712988192
dz,sd15,8,30.881309633168517,0.2721997902463432
dz,sd15,9,30.352431220699184,0.2942460228491166
dz,sd15,10,29.296282036249423,0.3147846983692522
dz,sd15,11,28.869947229149297,0.3347299444058793
dz,sd15,12,28.446516539978756,0.3540944138058993
dz,sd15,13,27.807999645102367,0.3725993212117278
dz,sd15,14,27.440788565598886,0.3906187322877936
dz,sd15,15,27.35147808336298,0.4085210400678521
dz,amused,1,81.55126851551793,0.1326167063257653
dz,amused,2,48.12131671989767,0.1787922269091799
dz,amused,3,42.443000555182124,0.21471327124330902
dz,amused,4,39.89929960392821,0.24645768712396315
dz,amused,5,38.24506100602621,0.2756244017205153
dz,amused,6,36.548148219556516,0.30226031246731083
dz,amused,7,34.88602936760562,0.3265286418088407
dz,amused,8,33.86050964506225,0.34939114488902184
dz,amused,9,32.5567469147195,0.37052695034841376
dz,amused,10,32.0904431008503,0.391061643782904
dz,amused,11,30.663927855830078,0.40981125923288936
dz,amused,12,29.06252718115616,0.42665364260837063
dz,amused,13,28.97147019586941,0.44339065220631846
dz,amused,14,28.31245856440783,0.4593748911648345
dz,amused,15,28.12647730800291,0.47514982262357436
