held_generator,representation,selected_c,n_features,auroc
ADM,null_only,0.001,608,0.2
ADM,auto,0.001,608,0.2
ADM,null_auto,0.001,1216,0.2
ADM,response,10.0,608,0.44
ADM,null_auto_response,0.1,1824,0.36000000000000004
BigGAN,null_only,0.001,608,0.6
BigGAN,auto,0.1,608,0.44
BigGAN,null_auto,0.001,1216,0.56
BigGAN,response,10.0,608,0.6
BigGAN,null_auto_response,10.0,1824,0.48000000000000004
DALLE2,null_only,0.01,608,0.52
DALLE2,auto,0.1,608,0.39999999999999997
DALLE2,null_auto,0.001,1216,0.56
DALLE2,response,1.0,608,0.76
DALLE2,null_auto_response,0.001,1824,0.56
GLIDE,null_only,0.001,608,0.88
GLIDE,auto,0.001,608,0.8400000000000001
GLIDE,null_auto,0.001,1216,0.8400000000000001
GLIDE,response,0.01,608,0.72
GLIDE,null_auto_response,1.0,1824,0.6399999999999999
Midjourney,null_only,0.001,608,0.56
Midjourney,auto,0.001,608,0.52
Midjourney,null_auto,0.001,1216,0.52
Midjourney,response,0.01,608,0.52
Midjourney,null_auto_response,0.001,1824,0.43999999999999995
SD14,null_only,0.001,608,0.72
SD14,auto,0.001,608,0.6799999999999999
SD14,null_auto,0.001,1216,0.72
SD14,response,10.0,608,0.64
SD14,null_auto_response,0.001,1824,0.76
SDXL,null_only,0.01,608,0.56
SDXL,auto,0.001,608,0.56
SDXL,null_auto,0.001,1216,0.56
SDXL,response,1.0,608,0.8
SDXL,null_auto_response,0.01,1824,0.56
VQDM,null_only,0.01,608,0.64
VQDM,auto,0.001,608,0.72
VQDM,null_auto,0.001,1216,0.72
VQDM,response,0.01,608,0.8
VQDM,null_auto_response,0.001,1824,0.76
