held_generator,representation,selected_c,n_features,auroc
ADM,null_only,0.01,608,0.84
ADM,auto,0.1,608,0.816
ADM,null_auto,0.1,1216,0.808
ADM,response,0.01,608,0.68
ADM,null_auto_response,0.1,1824,0.8400000000000001
BigGAN,null_only,0.01,608,0.4
BigGAN,auto,0.01,608,0.52
BigGAN,null_auto,0.01,1216,0.52
BigGAN,response,1.0,608,0.27199999999999996
BigGAN,null_auto_response,10.0,1824,0.384
DALLE2,null_only,0.01,608,0.5359999999999999
DALLE2,auto,0.01,608,0.56
DALLE2,null_auto,0.01,1216,0.56
DALLE2,response,0.1,608,0.64
DALLE2,null_auto_response,0.001,1824,0.512
GLIDE,null_only,0.1,608,0.728
GLIDE,auto,0.1,608,0.792
GLIDE,null_auto,0.1,1216,0.72
GLIDE,response,0.001,608,0.5920000000000001
GLIDE,null_auto_response,0.01,1824,0.672
Midjourney,null_only,0.01,608,0.792
Midjourney,auto,0.01,608,0.76
Midjourney,null_auto,0.01,1216,0.744
Midjourney,response,1.0,608,0.552
Midjourney,null_auto_response,10.0,1824,0.584
SD14,null_only,0.01,608,0.6559999999999999
SD14,auto,0.01,608,0.728
SD14,null_auto,0.001,1216,0.744
SD14,response,0.001,608,0.96
SD14,null_auto_response,0.001,1824,0.824
SDXL,null_only,0.001,608,0.6319999999999999
SDXL,auto,0.01,608,0.5920000000000001
SDXL,null_auto,0.1,1216,0.512
SDXL,response,0.001,608,0.5519999999999999
SDXL,null_auto_response,0.001,1824,0.608
VQDM,null_only,0.01,608,0.712
VQDM,auto,0.1,608,0.76
VQDM,null_auto,0.01,1216,0.752
VQDM,response,0.1,608,0.48
VQDM,null_auto_response,0.001,1824,0.712
