representation,median,mean,min
alignment,0.5168,0.4898,0.2064
conditional_geometry,0.5791999999999999,0.5482,0.34559999999999996
cross_timestep,0.6416,0.62,0.34080000000000005
frequency_score,0.5007999999999999,0.5126,0.3216
latent_geometry,0.5888,0.5802,0.35040000000000004
latent_typicality,0.6088,0.637,0.5456
noise_magnitude,0.6664,0.6252,0.44799999999999995
roundtrip_endpoint,0.6224000000000001,0.6112,0.5456
score_dynamics,0.7056,0.6335999999999999,0.3408
spatial_score,0.72,0.6718000000000001,0.39039999999999997
