held_generator,generator_count,combination,auroc
ADM,1,BigGAN,0.6704000000000001
ADM,1,DALLE2,0.2848
ADM,1,GLIDE,0.5312
ADM,1,Midjourney,0.7616
ADM,1,SD14,0.7744
ADM,1,SDXL,0.6656
ADM,1,VQDM,0.6208
ADM,2,BigGAN+DALLE2,0.4272000000000001
ADM,2,BigGAN+GLIDE,0.5760000000000001
ADM,2,BigGAN+Midjourney,0.7408
ADM,2,BigGAN+SD14,0.7264
ADM,2,BigGAN+SDXL,0.7664
ADM,2,BigGAN+VQDM,0.6496
ADM,2,DALLE2+GLIDE,0.248
ADM,3,BigGAN+DALLE2+GLIDE,0.4688
ADM,3,BigGAN+DALLE2+Midjourney,0.7232000000000001
ADM,3,BigGAN+DALLE2+SD14,0.688
ADM,3,BigGAN+DALLE2+SDXL,0.6479999999999999
ADM,3,BigGAN+DALLE2+VQDM,0.5456
ADM,3,BigGAN+GLIDE+Midjourney,0.7136
ADM,3,BigGAN+GLIDE+SD14,0.7216
ADM,4,BigGAN+DALLE2+GLIDE+Midjourney,0.6848000000000001
ADM,4,BigGAN+DALLE2+GLIDE+SD14,0.672
ADM,4,BigGAN+DALLE2+GLIDE+SDXL,0.6304
ADM,4,BigGAN+DALLE2+GLIDE+VQDM,0.5584
ADM,4,BigGAN+DALLE2+Midjourney+SD14,0.7712
ADM,4,BigGAN+DALLE2+Midjourney+SDXL,0.7472
ADM,4,BigGAN+DALLE2+Midjourney+VQDM,0.6799999999999999
ADM,5,BigGAN+DALLE2+GLIDE+Midjourney+SD14,0.7152000000000001
ADM,5,BigGAN+DALLE2+GLIDE+Midjourney+SDXL,0.7136
ADM,5,BigGAN+DALLE2+GLIDE+Midjourney+VQDM,0.6976
ADM,5,BigGAN+DALLE2+GLIDE+SD14+SDXL,0.6976
ADM,5,BigGAN+DALLE2+GLIDE+SD14+VQDM,0.6656
ADM,5,BigGAN+DALLE2+GLIDE+SDXL+VQDM,0.6928
ADM,5,BigGAN+DALLE2+Midjourney+SD14+SDXL,0.7727999999999999
ADM,6,BigGAN+DALLE2+GLIDE+Midjourney+SD14+SDXL,0.7296
ADM,6,BigGAN+DALLE2+GLIDE+Midjourney+SD14+VQDM,0.7072
ADM,6,BigGAN+DALLE2+GLIDE+Midjourney+SDXL+VQDM,0.7296
ADM,6,BigGAN+DALLE2+GLIDE+SD14+SDXL+VQDM,0.7088
ADM,6,BigGAN+DALLE2+Midjourney+SD14+SDXL+VQDM,0.7567999999999999
ADM,6,BigGAN+GLIDE+Midjourney+SD14+SDXL+VQDM,0.7536
ADM,6,DALLE2+GLIDE+Midjourney+SD14+SDXL+VQDM,0.6752
ADM,7,BigGAN+DALLE2+GLIDE+Midjourney+SD14+SDXL+VQDM,0.7296
BigGAN,1,ADM,0.6512
BigGAN,1,DALLE2,0.4736
BigGAN,1,GLIDE,0.656
BigGAN,1,Midjourney,0.47040000000000004
BigGAN,1,SD14,0.48160000000000003
BigGAN,1,SDXL,0.39039999999999997
BigGAN,1,VQDM,0.6192
BigGAN,2,ADM+DALLE2,0.49439999999999995
BigGAN,2,ADM+GLIDE,0.7168
BigGAN,2,ADM+Midjourney,0.6224
BigGAN,2,ADM+SD14,0.5791999999999999
BigGAN,2,ADM+SDXL,0.5743999999999999
BigGAN,2,ADM+VQDM,0.6976
BigGAN,2,DALLE2+GLIDE,0.5408
BigGAN,3,ADM+DALLE2+GLIDE,0.5328
BigGAN,3,ADM+DALLE2+Midjourney,0.5504
BigGAN,3,ADM+DALLE2+SD14,0.48
BigGAN,3,ADM+DALLE2+SDXL,0.5136
BigGAN,3,ADM+DALLE2+VQDM,0.5167999999999999
BigGAN,3,ADM+GLIDE+Midjourney,0.6048
BigGAN,3,ADM+GLIDE+SD14,0.6432
BigGAN,4,ADM+DALLE2+GLIDE+Midjourney,0.5744
BigGAN,4,ADM+DALLE2+GLIDE+SD14,0.5472
BigGAN,4,ADM+DALLE2+GLIDE+SDXL,0.5391999999999999
BigGAN,4,ADM+DALLE2+GLIDE+VQDM,0.5648
BigGAN,4,ADM+DALLE2+Midjourney+SD14,0.5584
BigGAN,4,ADM+DALLE2+Midjourney+SDXL,0.5472
BigGAN,4,ADM+DALLE2+Midjourney+VQDM,0.5824
BigGAN,5,ADM+DALLE2+GLIDE+Midjourney+SD14,0.5296
BigGAN,5,ADM+DALLE2+GLIDE+Midjourney+SDXL,0.49279999999999996
BigGAN,5,ADM+DALLE2+GLIDE+Midjourney+VQDM,0.5648
BigGAN,5,ADM+DALLE2+GLIDE+SD14+SDXL,0.49600000000000005
BigGAN,5,ADM+DALLE2+GLIDE+SD14+VQDM,0.5632
BigGAN,5,ADM+DALLE2+GLIDE+SDXL+VQDM,0.48319999999999996
BigGAN,5,ADM+DALLE2+Midjourney+SD14+SDXL,0.5008
BigGAN,6,ADM+DALLE2+GLIDE+Midjourney+SD14+SDXL,0.536
BigGAN,6,ADM+DALLE2+GLIDE+Midjourney+SD14+VQDM,0.6288
BigGAN,6,ADM+DALLE2+GLIDE+Midjourney+SDXL+VQDM,0.5680000000000001
BigGAN,6,ADM+DALLE2+GLIDE+SD14+SDXL+VQDM,0.5439999999999999
BigGAN,6,ADM+DALLE2+Midjourney+SD14+SDXL+VQDM,0.5711999999999999
BigGAN,6,ADM+GLIDE+Midjourney+SD14+SDXL+VQDM,0.5808
BigGAN,6,DALLE2+GLIDE+Midjourney+SD14+SDXL+VQDM,0.5696
BigGAN,7,ADM+DALLE2+GLIDE+Midjourney+SD14+SDXL+VQDM,0.5551999999999999
DALLE2,1,ADM,0.20320000000000005
DALLE2,1,BigGAN,0.2832
DALLE2,1,GLIDE,0.576
DALLE2,1,Midjourney,0.3824000000000001
DALLE2,1,SD14,0.2448
DALLE2,1,SDXL,0.3712
DALLE2,1,VQDM,0.31679999999999997
DALLE2,2,ADM+BigGAN,0.30879999999999996
DALLE2,2,ADM+GLIDE,0.3776
DALLE2,2,ADM+Midjourney,0.3328
DALLE2,2,ADM+SD14,0.24480000000000002
DALLE2,2,ADM+SDXL,0.3024
DALLE2,2,ADM+VQDM,0.288
DALLE2,2,BigGAN+GLIDE,0.48
DALLE2,3,ADM+BigGAN+GLIDE,0.384
DALLE2,3,ADM+BigGAN+Midjourney,0.3808
DALLE2,3,ADM+BigGAN+SD14,0.2816
DALLE2,3,ADM+BigGAN+SDXL,0.3296
DALLE2,3,ADM+BigGAN+VQDM,0.29919999999999997
DALLE2,3,ADM+GLIDE+Midjourney,0.4064
DALLE2,3,ADM+GLIDE+SD14,0.34720000000000006
DALLE2,4,ADM+BigGAN+GLIDE+Midjourney,0.48
DALLE2,4,ADM+BigGAN+GLIDE+SD14,0.37120000000000003
DALLE2,4,ADM+BigGAN+GLIDE+SDXL,0.46080000000000004
DALLE2,4,ADM+BigGAN+GLIDE+VQDM,0.3936
DALLE2,4,ADM+BigGAN+Midjourney+SD14,0.3728
DALLE2,4,ADM+BigGAN+Midjourney+SDXL,0.4672
DALLE2,4,ADM+BigGAN+Midjourney+VQDM,0.38079999999999997
DALLE2,5,ADM+BigGAN+GLIDE+Midjourney+SD14,0.4192
DALLE2,5,ADM+BigGAN+GLIDE+Midjourney+SDXL,0.49760000000000004
DALLE2,5,ADM+BigGAN+GLIDE+Midjourney+VQDM,0.4064
DALLE2,5,ADM+BigGAN+GLIDE+SD14+SDXL,0.4192
DALLE2,5,ADM+BigGAN+GLIDE+SD14+VQDM,0.3439999999999999
DALLE2,5,ADM+BigGAN+GLIDE+SDXL+VQDM,0.4112
DALLE2,5,ADM+BigGAN+Midjourney+SD14+SDXL,0.4192
DALLE2,6,ADM+BigGAN+GLIDE+Midjourney+SD14+SDXL,0.4624
DALLE2,6,ADM+BigGAN+GLIDE+Midjourney+SD14+VQDM,0.39680000000000004
DALLE2,6,ADM+BigGAN+GLIDE+Midjourney+SDXL+VQDM,0.4464
DALLE2,6,ADM+BigGAN+GLIDE+SD14+SDXL+VQDM,0.39039999999999997
DALLE2,6,ADM+BigGAN+Midjourney+SD14+SDXL+VQDM,0.37279999999999996
DALLE2,6,ADM+GLIDE+Midjourney+SD14+SDXL+VQDM,0.40640000000000004
DALLE2,6,BigGAN+GLIDE+Midjourney+SD14+SDXL+VQDM,0.42879999999999996
DALLE2,7,ADM+BigGAN+GLIDE+Midjourney+SD14+SDXL+VQDM,0.42079999999999995
GLIDE,1,ADM,0.2608
GLIDE,1,BigGAN,0.3456
GLIDE,1,DALLE2,0.8143999999999999
GLIDE,1,Midjourney,0.4832000000000001
GLIDE,1,SD14,0.28
GLIDE,1,SDXL,0.10400000000000001
GLIDE,1,VQDM,0.8655999999999999
GLIDE,2,ADM+BigGAN,0.3312
GLIDE,2,ADM+DALLE2,0.46240000000000003
GLIDE,2,ADM+Midjourney,0.38399999999999995
GLIDE,2,ADM+SD14,0.23199999999999998
GLIDE,2,ADM+SDXL,0.1632
GLIDE,2,ADM+VQDM,0.8304
GLIDE,2,BigGAN+DALLE2,0.4496
GLIDE,3,ADM+BigGAN+DALLE2,0.5087999999999999
GLIDE,3,ADM+BigGAN+Midjourney,0.3872
GLIDE,3,ADM+BigGAN+SD14,0.37920000000000004
GLIDE,3,ADM+BigGAN+SDXL,0.32320000000000004
GLIDE,3,ADM+BigGAN+VQDM,0.7008
GLIDE,3,ADM+DALLE2+Midjourney,0.6304
GLIDE,3,ADM+DALLE2+SD14,0.5856
GLIDE,4,ADM+BigGAN+DALLE2+Midjourney,0.5968
GLIDE,4,ADM+BigGAN+DALLE2+SD14,0.6832
GLIDE,4,ADM+BigGAN+DALLE2+SDXL,0.5696
GLIDE,4,ADM+BigGAN+DALLE2+VQDM,0.8575999999999999
GLIDE,4,ADM+BigGAN+Midjourney+SD14,0.5312
GLIDE,4,ADM+BigGAN+Midjourney+SDXL,0.41440000000000005
GLIDE,4,ADM+BigGAN+Midjourney+VQDM,0.7360000000000001
GLIDE,5,ADM+BigGAN+DALLE2+Midjourney+SD14,0.7392000000000001
GLIDE,5,ADM+BigGAN+DALLE2+Midjourney+SDXL,0.6432
GLIDE,5,ADM+BigGAN+DALLE2+Midjourney+VQDM,0.8480000000000001
GLIDE,5,ADM+BigGAN+DALLE2+SD14+SDXL,0.7552
GLIDE,5,ADM+BigGAN+DALLE2+SD14+VQDM,0.9008
GLIDE,5,ADM+BigGAN+DALLE2+SDXL+VQDM,0.9008
GLIDE,5,ADM+BigGAN+Midjourney+SD14+SDXL,0.5376000000000001
GLIDE,6,ADM+BigGAN+DALLE2+Midjourney+SD14+SDXL,0.7968000000000001
GLIDE,6,ADM+BigGAN+DALLE2+Midjourney+SD14+VQDM,0.8864000000000001
GLIDE,6,ADM+BigGAN+DALLE2+Midjourney+SDXL+VQDM,0.8992
GLIDE,6,ADM+BigGAN+DALLE2+SD14+SDXL+VQDM,0.9232
GLIDE,6,ADM+BigGAN+Midjourney+SD14+SDXL+VQDM,0.8416
GLIDE,6,ADM+DALLE2+Midjourney+SD14+SDXL+VQDM,0.9136
GLIDE,6,BigGAN+DALLE2+Midjourney+SD14+SDXL+VQDM,0.9264000000000001
GLIDE,7,ADM+BigGAN+DALLE2+Midjourney+SD14+SDXL+VQDM,0.8959999999999999
Midjourney,1,ADM,0.5840000000000001
Midjourney,1,BigGAN,0.39680000000000004
Midjourney,1,DALLE2,0.6112
Midjourney,1,GLIDE,0.6096
Midjourney,1,SD14,0.5904
Midjourney,1,SDXL,0.45280000000000004
Midjourney,1,VQDM,0.5312
Midjourney,2,ADM+BigGAN,0.6032000000000001
Midjourney,2,ADM+DALLE2,0.6928
Midjourney,2,ADM+GLIDE,0.7248
Midjourney,2,ADM+SD14,0.712
Midjourney,2,ADM+SDXL,0.6224
Midjourney,2,ADM+VQDM,0.7024
