held_generator,representation,images_per_generator,auroc
ADM,legacy,5,0.6335999999999999
ADM,legacy,10,0.7520000000000001
ADM,legacy,15,0.6671999999999999
ADM,legacy,20,0.6656
ADM,legacy,25,0.6255999999999999
ADM,rich,5,0.6576
ADM,rich,10,0.7376
ADM,rich,15,0.7008
ADM,rich,20,0.7024
ADM,rich,25,0.7296
BigGAN,legacy,5,0.592
BigGAN,legacy,10,0.56
BigGAN,legacy,15,0.5456
BigGAN,legacy,20,0.536
BigGAN,legacy,25,0.5296000000000001
BigGAN,rich,5,0.6048
BigGAN,rich,10,0.5536
BigGAN,rich,15,0.4688
BigGAN,rich,20,0.5344
BigGAN,rich,25,0.5551999999999999
DALLE2,legacy,5,0.33919999999999995
DALLE2,legacy,10,0.5472
DALLE2,legacy,15,0.5424
DALLE2,legacy,20,0.5344
DALLE2,legacy,25,0.6048
DALLE2,rich,5,0.16
DALLE2,rich,10,0.35359999999999997
DALLE2,rich,15,0.3776
DALLE2,rich,20,0.4096
DALLE2,rich,25,0.42079999999999995
GLIDE,legacy,5,0.8735999999999999
GLIDE,legacy,10,0.6607999999999999
GLIDE,legacy,15,0.8384
GLIDE,legacy,20,0.872
GLIDE,legacy,25,0.8896
GLIDE,rich,5,0.7344
GLIDE,rich,10,0.7056
GLIDE,rich,15,0.7711999999999999
GLIDE,rich,20,0.8336
GLIDE,rich,25,0.8959999999999999
Midjourney,legacy,5,0.632
Midjourney,legacy,10,0.6783999999999999
Midjourney,legacy,15,0.6816
Midjourney,legacy,20,0.7263999999999999
Midjourney,legacy,25,0.7408
Midjourney,rich,5,0.44480000000000003
Midjourney,rich,10,0.6688
Midjourney,rich,15,0.7551999999999999
Midjourney,rich,20,0.7904
Midjourney,rich,25,0.7696000000000001
SD14,legacy,5,0.6592
SD14,legacy,10,0.7504
SD14,legacy,15,0.7295999999999999
SD14,legacy,20,0.7727999999999999
SD14,legacy,25,0.7696000000000001
SD14,rich,5,0.504
SD14,rich,10,0.7008
SD14,rich,15,0.7088000000000001
SD14,rich,20,0.696
SD14,rich,25,0.7168
SDXL,legacy,5,0.3312
SDXL,legacy,10,0.3904
SDXL,legacy,15,0.36319999999999997
SDXL,legacy,20,0.3664
SDXL,legacy,25,0.34240000000000004
SDXL,rich,5,0.5392
SDXL,rich,10,0.72
SDXL,rich,15,0.68
SDXL,rich,20,0.6863999999999999
SDXL,rich,25,0.6896
VQDM,legacy,5,0.6624
VQDM,legacy,10,0.6048
VQDM,legacy,15,0.6432
VQDM,legacy,20,0.6799999999999999
VQDM,legacy,25,0.6752
VQDM,rich,5,0.6559999999999999
VQDM,rich,10,0.624
VQDM,rich,15,0.6511999999999999
VQDM,rich,20,0.7056
VQDM,rich,25,0.728
