held_generator,representation,model,n_features,inner_auroc,selected_c,selected_pca,auroc,auprc,balanced_accuracy,tpr_at_1pct_fpr,tpr_at_5pct_fpr,auroc_ci95
ADM,legacy,logistic,44,0.6813714285714286,0.01,,0.6255999999999999,0.6707471198274176,0.6000000000000001,0.0,0.12,"[0.4524015235971758, 0.7584927536231884]"
ADM,legacy,pca_logistic,44,0.7021714285714287,10.0,5.0,0.7152000000000001,0.7775770494312944,0.64,0.04,0.12,"[0.5811963066086004, 0.8317507045088567]"
ADM,legacy,boosted,44,0.6475428571428571,1.0,,0.616,0.6170954860368064,0.54,0.0,0.08,"[0.4449871249440215, 0.7597467532467533]"
ADM,rich,logistic,608,0.6857142857142857,0.01,,0.7296,0.7332474942830545,0.66,0.04,0.28,"[0.5797083601056615, 0.8555485627496496]"
ADM,rich,pca_logistic,608,0.6722285714285715,0.01,80.0,0.7168,0.6951199720693292,0.64,0.04,0.28,"[0.5599162561576354, 0.8448244805194804]"
ADM,rich,boosted,608,0.6582857142857144,1.0,,0.6096,0.6648018126146279,0.5800000000000001,0.0,0.2,"[0.45419136876006444, 0.7564102564102564]"
ADM,combined,logistic,652,0.6822857142857143,0.01,,0.7376,0.7422751851107453,0.66,0.04,0.32,"[0.5864080112721417, 0.8599838969404187]"
ADM,combined,pca_logistic,652,0.6717714285714285,0.01,80.0,0.7232000000000001,0.7031763338277505,0.6599999999999999,0.0,0.28,"[0.5656124194847021, 0.8408083296014329]"
ADM,combined,boosted,652,0.68,1.0,,0.624,0.6793450746762923,0.5800000000000001,0.04,0.28,"[0.4624553966148794, 0.7617528502415458]"
BigGAN,legacy,logistic,44,0.6948571428571428,0.01,,0.5296000000000001,0.5580660225890375,0.54,0.04,0.12,"[0.35414653784218997, 0.7003605769230768]"
BigGAN,legacy,pca_logistic,44,0.7197714285714286,1.0,5.0,0.6015999999999999,0.6167468547855017,0.5800000000000001,0.08,0.12,"[0.4399903381642512, 0.768037012987013]"
BigGAN,legacy,boosted,44,0.6665142857142857,1.0,,0.5728,0.5659603488602553,0.52,0.0,0.08,"[0.4265297906602254, 0.7423183373590979]"
BigGAN,rich,logistic,608,0.7152000000000002,1.0,,0.5551999999999999,0.6528108695903131,0.52,0.08,0.12,"[0.3959929653679654, 0.7037219485495347]"
BigGAN,rich,pca_logistic,608,0.7106285714285713,0.1,10.0,0.448,0.5424226291769343,0.52,0.04,0.08,"[0.2930404589371981, 0.6167548076923077]"
BigGAN,rich,boosted,608,0.6694857142857142,1.0,,0.608,0.5746757504082595,0.54,0.08,0.12,"[0.4523835748792271, 0.7709618506493505]"
BigGAN,combined,logistic,652,0.7078857142857142,0.1,,0.5856,0.6565974057188441,0.6,0.04,0.12,"[0.42702724637681155, 0.7483872077922078]"
BigGAN,combined,pca_logistic,652,0.7035428571428571,10.0,10.0,0.4224,0.5216813847774003,0.54,0.04,0.08,"[0.2687600644122383, 0.5853924999999996]"
BigGAN,combined,boosted,652,0.6832,1.0,,0.6656000000000001,0.6159219841540011,0.56,0.04,0.12,"[0.5086403864734299, 0.820616883116883]"
DALLE2,legacy,logistic,44,0.6886857142857143,0.01,,0.6048,0.586399482552673,0.64,0.04,0.04,"[0.43187708333333336, 0.7533825983044732]"
DALLE2,legacy,pca_logistic,44,0.7174857142857143,10.0,5.0,0.5663999999999999,0.5720119931015788,0.54,0.04,0.08,"[0.3879130061115355, 0.7008323349436394]"
DALLE2,legacy,boosted,44,0.6921142857142858,1.0,,0.5616,0.5368866600561418,0.5800000000000001,0.0,0.04,"[0.39032000000000006, 0.7182562517760727]"
DALLE2,rich,logistic,608,0.744,0.01,,0.42079999999999995,0.528714481372179,0.46,0.08,0.12,"[0.26868919540229885, 0.5796677832512316]"
DALLE2,rich,pca_logistic,608,0.7604571428571427,0.1,40.0,0.39360000000000006,0.5174099434280972,0.44,0.04,0.12,"[0.21868990384615386, 0.5504957049794005]"
DALLE2,rich,boosted,608,0.7437714285714286,1.0,,0.3424,0.4472856729981849,0.42000000000000004,0.0,0.04,"[0.18359402852049908, 0.49444]"
DALLE2,combined,logistic,652,0.745142857142857,0.01,,0.42879999999999996,0.5323931217132071,0.44,0.04,0.12,"[0.274885, 0.584630738916256]"
DALLE2,combined,pca_logistic,652,0.7570285714285714,1.0,40.0,0.40159999999999996,0.5070013117841714,0.46,0.0,0.12,"[0.23151296977124183, 0.5681860165696373]"
DALLE2,combined,boosted,652,0.7392000000000001,1.0,,0.3504,0.4503003921685637,0.42000000000000004,0.0,0.04,"[0.1976344385026738, 0.4960331550802139]"
GLIDE,legacy,logistic,44,0.6221714285714286,100.0,,0.8896,0.915584516002366,0.74,0.48,0.64,"[0.7680797101449275, 0.9600384615384615]"
GLIDE,legacy,pca_logistic,44,0.6571428571428569,0.1,5.0,0.8336,0.85408320026779,0.76,0.24,0.52,"[0.7241379310344828, 0.9215300324675324]"
GLIDE,legacy,boosted,44,0.6013714285714286,1.0,,0.8272,0.8399151758137328,0.7,0.04,0.24,"[0.7174918831168832, 0.92008]"
GLIDE,rich,logistic,608,0.6550857142857144,0.1,,0.8959999999999999,0.8958748905111336,0.8400000000000001,0.56,0.6,"[0.8018115942028985, 0.9696399999999998]"
GLIDE,rich,pca_logistic,608,0.6537142857142858,1.0,80.0,0.8896,0.9193800754736818,0.8,0.04,0.6,"[0.779343109995653, 0.9694479282794499]"
GLIDE,rich,boosted,608,0.5940571428571427,1.0,,0.9392,0.9402903635228983,0.8600000000000001,0.36,0.52,"[0.8692395892284474, 0.9878539279145444]"
GLIDE,combined,logistic,652,0.6521142857142858,0.1,,0.9024,0.9107550449514557,0.8400000000000001,0.56,0.6,"[0.8083679863520418, 0.9700194805194806]"
GLIDE,combined,pca_logistic,652,0.6534857142857142,100.0,80.0,0.9072,0.9302292900934037,0.78,0.12,0.52,"[0.8037239583333334, 0.9740312022920719]"
GLIDE,combined,boosted,652,0.6116571428571429,1.0,,0.9264,0.9311532946137516,0.8400000000000001,0.36,0.48,"[0.8524657809983897, 0.9807129917184265]"
Midjourney,legacy,logistic,44,0.6559999999999999,0.01,,0.7408,0.7479740339845155,0.6799999999999999,0.0,0.16,"[0.5881175000000001, 0.8589014921835378]"
Midjourney,legacy,pca_logistic,44,0.6848,100.0,5.0,0.7184,0.7150445372561651,0.64,0.0,0.08,"[0.5456, 0.8519097222222222]"
Midjourney,legacy,boosted,44,0.6374857142857142,1.0,,0.7312,0.7472919362504993,0.6,0.04,0.24,"[0.5576388888888889, 0.8711961352657005]"
Midjourney,rich,logistic,608,0.6678857142857143,0.1,,0.7696000000000001,0.7184158970112531,0.72,0.04,0.16,"[0.6316220288624788, 0.8910759762308998]"
Midjourney,rich,pca_logistic,608,0.6639999999999999,1.0,80.0,0.7712,0.8082796049971979,0.72,0.0,0.0,"[0.6217086104314364, 0.8926339285714286]"
Midjourney,rich,boosted,608,0.5881142857142857,1.0,,0.7616,0.7486257009039695,0.7,0.08,0.12,"[0.6216173599320883, 0.8808516815310293]"
Midjourney,combined,logistic,652,0.6660571428571428,0.01,,0.8240000000000001,0.8400557968670097,0.72,0.04,0.2,"[0.7044841531254575, 0.9263221153846154]"
Midjourney,combined,pca_logistic,652,0.6608,0.1,80.0,0.8031999999999999,0.8559298406173426,0.76,0.0,0.16,"[0.6746471165458937, 0.9212296324365289]"
Midjourney,combined,boosted,652,0.6132571428571428,1.0,,0.7744,0.7759437881629057,0.7,0.04,0.16,"[0.6343590338164251, 0.8769999424890729]"
SD14,legacy,logistic,44,0.6486857142857143,0.01,,0.7696000000000001,0.7084778070093527,0.6799999999999999,0.0,0.28,"[0.625, 0.8913412563667232]"
SD14,legacy,pca_logistic,44,0.6978285714285715,1.0,5.0,0.8112,0.7784693186987305,0.74,0.04,0.36,"[0.6634284804753819, 0.922105974025974]"
SD14,legacy,boosted,44,0.6121142857142857,1.0,,0.7776,0.786105944901655,0.64,0.0,0.08,"[0.6574475108225107, 0.8975160256410255]"
SD14,rich,logistic,608,0.6875428571428571,0.01,,0.7168,0.7063213239982324,0.66,0.08,0.12,"[0.5543831168831169, 0.8445819805194805]"
SD14,rich,pca_logistic,608,0.6788571428571428,0.1,80.0,0.7456,0.7319386542387639,0.7,0.12,0.2,"[0.5976175776685115, 0.8664251207729468]"
SD14,rich,boosted,608,0.6832,1.0,,0.6112,0.5972353460728932,0.62,0.04,0.12,"[0.4533958333333334, 0.7569645732689209]"
SD14,combined,logistic,652,0.6845714285714285,0.01,,0.7136,0.7062231644908095,0.64,0.08,0.12,"[0.5432259856018345, 0.8490161777877294]"
SD14,combined,pca_logistic,652,0.6811428571428572,1.0,80.0,0.6736,0.6312528407643885,0.6000000000000001,0.0,0.16,"[0.5200839371980676, 0.814125]"
SD14,combined,boosted,652,0.7021714285714287,1.0,,0.6144000000000001,0.6115650306392686,0.5800000000000001,0.04,0.12,"[0.4565533918308703, 0.7665861513687601]"
