held_generator,method,auroc
ADM,diagonal_distance,0.47040000000000004
ADM,shrinkage_mahalanobis,0.4656
ADM,pca_reconstruction,0.5072
BigGAN,diagonal_distance,0.6128
BigGAN,shrinkage_mahalanobis,0.4592
BigGAN,pca_reconstruction,0.4688
DALLE2,diagonal_distance,0.5024
DALLE2,shrinkage_mahalanobis,0.4032
DALLE2,pca_reconstruction,0.4064
GLIDE,diagonal_distance,0.912
GLIDE,shrinkage_mahalanobis,0.8992
GLIDE,pca_reconstruction,0.8432000000000001
Midjourney,diagonal_distance,0.4448
Midjourney,shrinkage_mahalanobis,0.6432
Midjourney,pca_reconstruction,0.6608
SD14,diagonal_distance,0.5760000000000001
SD14,shrinkage_mahalanobis,0.6896
SD14,pca_reconstruction,0.648
SDXL,diagonal_distance,0.7088000000000001
SDXL,shrinkage_mahalanobis,0.7504
SDXL,pca_reconstruction,0.7263999999999999
VQDM,diagonal_distance,0.8464
VQDM,shrinkage_mahalanobis,0.8400000000000001
VQDM,pca_reconstruction,0.8608
