held_generator,representation,model,n_features,inner_auroc,selected_c,selected_pca,auroc,auprc,balanced_accuracy,tpr_at_1pct_fpr,tpr_at_5pct_fpr,auroc_ci95
ADM,legacy,logistic,44,0.6924444444444444,100.0,,0.66,0.674442995420176,0.635,0.0,0.04,"[0.4958526315789474, 0.8107052080091296]"
ADM,legacy,pca_logistic,44,0.6928888888888889,0.1,10.0,0.648,0.7332982876952596,0.625,0.04,0.12,"[0.4836176409402954, 0.7942091503267974]"
ADM,legacy,boosted,44,0.6791111111111111,1.0,,0.612,0.6541602570030396,0.61,0.0,0.12,"[0.442, 0.7766960442303692]"
ADM,rich,logistic,608,0.7444444444444446,0.1,,0.784,0.824210331686194,0.725,0.04,0.28,"[0.6386059670781893, 0.9039999999999999]"
ADM,rich,pca_logistic,608,0.7122222222222221,0.01,80.0,0.744,0.782667046653962,0.7,0.04,0.24,"[0.5908863636363637, 0.8676995798319328]"
ADM,rich,boosted,608,0.6926666666666667,1.0,,0.67,0.739401132160078,0.5800000000000001,0.12,0.24,"[0.5158234126984127, 0.8067431139122315]"
ADM,core_rich,logistic,213,0.6795555555555555,0.01,,0.78,0.8199897120260267,0.71,0.12,0.28,"[0.654146442687747, 0.8972720071690322]"
ADM,core_rich,pca_logistic,213,0.6795555555555556,0.01,80.0,0.78,0.8199897120260267,0.71,0.12,0.28,"[0.654146442687747, 0.8972720071690322]"
ADM,core_rich,boosted,213,0.6659999999999999,1.0,,0.626,0.689542240234591,0.5700000000000001,0.08,0.16,"[0.458493906455863, 0.7778833333333334]"
ADM,combined,logistic,652,0.7502222222222223,0.1,,0.784,0.8284860215382946,0.7,0.08,0.28,"[0.6405394495855021, 0.8980302371541502]"
ADM,combined,pca_logistic,652,0.7128888888888888,0.01,80.0,0.748,0.7900905872269418,0.7,0.04,0.24,"[0.6031452380952381, 0.8675903859567543]"
ADM,combined,boosted,652,0.7117777777777778,1.0,,0.7000000000000001,0.7238581904955812,0.6,0.04,0.28,"[0.5499645748987855, 0.8472416666666667]"
BigGAN,legacy,logistic,44,0.7002222222222223,10.0,,0.614,0.6676752295133633,0.55,0.04,0.12,"[0.44947393937332014, 0.7675218367247352]"
BigGAN,legacy,pca_logistic,44,0.7,10.0,40.0,0.61,0.6640135256861527,0.55,0.04,0.12,"[0.44660876208190786, 0.7687940190959515]"
BigGAN,legacy,boosted,44,0.6686666666666667,1.0,,0.5860000000000001,0.6858738230270455,0.545,0.0,0.04,"[0.4365612648221344, 0.7620343621399177]"
BigGAN,rich,logistic,608,0.8013333333333333,0.1,,0.5,0.6040600626292335,0.57,0.04,0.12,"[0.32595947396672037, 0.6831712314555453]"
BigGAN,rich,pca_logistic,608,0.7626666666666666,0.1,80.0,0.518,0.5937296415240452,0.57,0.04,0.16,"[0.344406512605042, 0.6925401138716356]"
BigGAN,rich,boosted,608,0.7013333333333334,1.0,,0.542,0.648559607219372,0.45999999999999996,0.0,0.04,"[0.3579732510288066, 0.696]"
BigGAN,core_rich,logistic,213,0.724,0.01,,0.4640000000000001,0.6397091863103229,0.52,0.04,0.16,"[0.29417438271604934, 0.6221975827367981]"
BigGAN,core_rich,pca_logistic,213,0.7244444444444444,0.01,40.0,0.4620000000000001,0.6391726009444693,0.52,0.04,0.2,"[0.2896358543417367, 0.6210674755214982]"
BigGAN,core_rich,boosted,213,0.6599999999999999,1.0,,0.606,0.6955233780000645,0.565,0.04,0.08,"[0.4247037573410571, 0.7702999999999997]"
BigGAN,combined,logistic,652,0.8,0.1,,0.506,0.613330694309555,0.57,0.04,0.16,"[0.33387274516501564, 0.691385582010582]"
BigGAN,combined,pca_logistic,652,0.7691111111111111,0.1,80.0,0.516,0.5959229807818056,0.595,0.04,0.12,"[0.3460905349794239, 0.6962071682121123]"
BigGAN,combined,boosted,652,0.7133333333333334,1.0,,0.548,0.6467646038200981,0.545,0.0,0.04,"[0.37467849794238683, 0.7163065843621397]"
DALLE2,legacy,logistic,44,0.7004444444444444,1.0,,0.594,0.6269044393091028,0.57,0.0,0.12,"[0.42854951112960277, 0.7529895225547399]"
DALLE2,legacy,pca_logistic,44,0.7053333333333334,0.1,10.0,0.592,0.6338428408179957,0.565,0.0,0.12,"[0.4154155643738977, 0.7707778483593701]"
DALLE2,legacy,boosted,44,0.6642222222222222,1.0,,0.642,0.6254060135836353,0.635,0.0,0.0,"[0.45163749999999997, 0.8118030996463491]"
DALLE2,rich,logistic,608,0.7613333333333334,0.01,,0.516,0.6240164835872921,0.535,0.0,0.12,"[0.33891875, 0.6944833333333332]"
DALLE2,rich,pca_logistic,608,0.758888888888889,0.01,80.0,0.44999999999999996,0.5888580944215039,0.465,0.0,0.08,"[0.28358690476190473, 0.6269884031198686]"
DALLE2,rich,boosted,608,0.7551111111111112,1.0,,0.342,0.4934208471351094,0.39,0.04,0.04,"[0.20950013904338155, 0.5240422924901186]"
DALLE2,core_rich,logistic,213,0.738,0.01,,0.33999999999999997,0.5291606009394683,0.44,0.0,0.12,"[0.188, 0.5079365079365079]"
DALLE2,core_rich,pca_logistic,213,0.7404444444444445,0.1,10.0,0.254,0.45364172555792304,0.305,0.0,0.12,"[0.1179386554621849, 0.41980452674897106]"
DALLE2,core_rich,boosted,213,0.7246666666666667,1.0,,0.316,0.4929082709050771,0.315,0.0,0.16,"[0.17769841269841272, 0.4942988095238092]"
DALLE2,combined,logistic,652,0.766,0.01,,0.538,0.6391963970483977,0.5549999999999999,0.0,0.08,"[0.3615177540298313, 0.7060871541501975]"
DALLE2,combined,pca_logistic,652,0.7602222222222222,0.1,80.0,0.532,0.6362988477455166,0.505,0.0,0.08,"[0.34219841269841267, 0.7060490592998332]"
