group,step,n,mean,std
real,0,200,0.9906001539310906,0.003988623821402699
real,1,200,0.9183102147571204,0.029130141705618555
real,2,200,0.6705380295431809,0.07961694976967824
real,3,200,0.4860423332084953,0.11108644633064525
real,4,200,0.32209419445612886,0.1028552839429583
real,5,200,0.23266106595425093,0.10402123931714713
ADM,0,25,0.9912965493552076,0.002820038680397091
ADM,1,25,0.9412047529666125,0.015472088204942721
ADM,2,25,0.7348930123559525,0.05302543667929816
ADM,3,25,0.5599568902658419,0.07356556456265051
ADM,4,25,0.36643402071245423,0.06260281442032622
ADM,5,25,0.2388009619074623,0.04586461773931332
BigGAN,0,25,0.9876135565427959,0.00451588480321304
BigGAN,1,25,0.9231009086559386,0.03232596258106247
BigGAN,2,25,0.6864814098165206,0.0857779097643718
BigGAN,3,25,0.5162687184325041,0.12470858984952968
BigGAN,4,25,0.32888329800251676,0.11745541493355478
BigGAN,5,25,0.21107767596647464,0.09475885269274063
DALLE2,0,25,0.9922756826073922,0.0029197169351656825
DALLE2,1,25,0.8927995649434096,0.03688328495494017
DALLE2,2,25,0.6020964600149866,0.07344913994664502
DALLE2,3,25,0.3893179615846034,0.07962900185113456
DALLE2,4,25,0.23607395144722518,0.06473821192609411
DALLE2,5,25,0.18625497667859084,0.08042262634536668
GLIDE,0,25,0.9894690671107184,0.0030105316443386093
GLIDE,1,25,0.8438034170101851,0.0543841496201204
GLIDE,2,25,0.5195721476903611,0.1085155161354873
GLIDE,3,25,0.3324286918017137,0.12062173899872272
GLIDE,4,25,0.1939995365808425,0.09847529865589602
GLIDE,5,25,0.11822993908610116,0.06145369397959251
Midjourney,0,25,0.9913701885071364,0.0025320423364426294
Midjourney,1,25,0.9123974499142555,0.03092386732295546
Midjourney,2,25,0.6614752115953654,0.08188820548654523
Midjourney,3,25,0.4615924352269501,0.08597815982246629
Midjourney,4,25,0.2876135240070236,0.07684907576436936
Midjourney,5,25,0.20093558503804693,0.07038485557321646
SD14,0,25,0.9935270922142938,0.002557356731963407
SD14,1,25,0.9298694054750603,0.019423438451906923
SD14,2,25,0.6995845862266826,0.05545806352325864
SD14,3,25,0.5082042783749077,0.07483797252540153
SD14,4,25,0.3327756425364175,0.06362011535160787
SD14,5,25,0.26193008092513304,0.07220761092547531
SD15,0,25,0.9935717847806242,0.002502681879648188
SD15,1,25,0.9378397125365112,0.014106244505040196
SD15,2,25,0.7241300435259984,0.043206168695854134
SD15,3,25,0.5353373161573305,0.0676527052962208
SD15,4,25,0.35881783436271064,0.06485927990756932
SD15,5,25,0.2726102094393292,0.06779901297045995
SDXL,0,25,0.994606595355718,0.0018669223197355915
SDXL,1,25,0.9391158595070364,0.014229307022147081
SDXL,2,25,0.7386141408597184,0.047657646966626305
SDXL,3,25,0.5534962148477462,0.07374803188463415
SDXL,4,25,0.40794622269786507,0.07157688142229417
SDXL,5,25,0.38787338132803095,0.06651938611635787
VQDM,0,25,0.9873101373540917,0.004291233763892188
VQDM,1,25,0.8916449148973355,0.03732262874792373
VQDM,2,25,0.6072239391897168,0.08661102966354019
VQDM,3,25,0.4085760074860743,0.08957525007535176
VQDM,4,25,0.24557395885227493,0.07075017070347087
VQDM,5,25,0.1410810779334953,0.05692953121206188
Wukong,0,25,0.9919788940224312,0.002750356350002136
Wukong,1,25,0.9086085104311863,0.02067514083071361
Wukong,2,25,0.642226390414846,0.05784315307996694
Wukong,3,25,0.4249635450871238,0.06542930028969571
Wukong,4,25,0.25493172030766065,0.06823677944475455
Wukong,5,25,0.19131268817365385,0.06909828175922772
