held_generator,held_real_source,selected_c,n_train,n_test,auroc,auprc,balanced_accuracy,tpr_at_1pct_fpr,tpr_at_5pct_fpr
ADM,aigc_benchmark_real,0.01,325,225,0.7496,0.21942710697476342,0.71,0.0,0.04
BigGAN,aigc_benchmark_real,0.01,325,225,0.7216,0.22709434391152583,0.6599999999999999,0.0,0.12
DALLE2,aigc_benchmark_real,0.01,325,225,0.6194000000000001,0.16910376072137903,0.605,0.04,0.12
GLIDE,aigc_benchmark_real,0.001,325,225,0.7728,0.2406342710134185,0.71,0.2,0.48
Midjourney,aigc_benchmark_real,0.01,325,225,0.6802,0.18190330851564812,0.645,0.0,0.04
SD14,aigc_benchmark_real,0.01,325,225,0.6948000000000001,0.1696611607296642,0.6625,0.0,0.0
SD15,aigc_benchmark_real,0.01,325,225,0.6798,0.16193357777692877,0.6525,0.0,0.0
SDXL,aigc_benchmark_real,0.01,325,225,0.4074,0.0935367634597931,0.4675,0.0,0.0
VQDM,aigc_benchmark_real,0.001,325,225,0.7214000000000002,0.4053201292169124,0.6075,0.44,0.52
Wukong,aigc_benchmark_real,0.001,325,225,0.449,0.10364322794662953,0.405,0.08,0.12
ADM,rrdataset_real,0.1,425,125,0.6624,0.35236232889489877,0.6000000000000001,0.08,0.24
BigGAN,rrdataset_real,0.1,425,125,0.518,0.2635582406390263,0.535,0.08,0.08
DALLE2,rrdataset_real,0.1,425,125,0.6043999999999999,0.25250784499888473,0.51,0.04,0.08
GLIDE,rrdataset_real,0.1,425,125,0.8240000000000001,0.5411978314781174,0.755,0.16,0.36
Midjourney,rrdataset_real,0.1,425,125,0.7732,0.4138269551842467,0.78,0.0,0.24
SD14,rrdataset_real,0.1,425,125,0.8484,0.5237674208832691,0.75,0.08,0.44
SD15,rrdataset_real,0.1,425,125,0.7727999999999999,0.4493419562684605,0.69,0.08,0.24
SDXL,rrdataset_real,0.1,425,125,0.608,0.34531058815618326,0.585,0.08,0.24
VQDM,rrdataset_real,0.1,425,125,0.7104,0.43622096893047885,0.615,0.2,0.24
Wukong,rrdataset_real,0.1,425,125,0.7644,0.4464024738458592,0.725,0.12,0.2
