feature,stage,mean_per_content_spearman,frac_content_monotonic_positive,pooled_spearman,pooled_p,n_content
diffpath_curvature,trajectory,-0.7499999999999999,0.0,-0.723511972796621,2.8843655017333645e-06,8
lpips_roundtrip,roundtrip,-0.825,0.0,-0.714430232552312,4.375927446441165e-06,8
score_norm_step0,score,0.625,1.0,0.6175583366130154,0.00016618687044832,8
lare_t200,score,-0.575,0.0,-0.5479316614066461,0.0011692099948229235,8
lpips_ae,vae,-0.5,0.0,-0.526740934169925,0.00195364333959086,8
path_length,trajectory,0.425,1.0,0.357215116276156,0.04474017366288478,8
pixel_mse_ae,vae,-0.42499999999999993,0.0,-0.34207888253564095,0.05531850829621449,8
pixel_l1_roundtrip,roundtrip,-0.175,0.125,-0.22098901261152026,0.22418961381221528,8
latent_mse_ae,vae,0.14999999999999997,0.5,0.21190727236721119,0.24429545806593714,8
latent_mse_roundtrip,roundtrip,-0.09999999999999996,0.375,-0.13925335041273879,0.44718883431903156,8
