feature,stage,d_sd15,d_amused,sign_agree
lpips_ae,vae,-0.38189465464039024,-2.201073359316531,True
pixel_mse_ae,vae,-0.27301860978030995,-0.9780515409943032,True
latent_mse_ae,vae,0.1850594446301682,-0.46474300831507914,False
lare_t200,score,-0.33119843724504355,-1.0849373229952588,True
score_norm_step0,score,0.40454266015914686,1.1430258192277802,True
diffpath_curvature,trajectory,-0.5420184461946088,-0.17516947566607471,True
path_length,trajectory,-0.3325134827817648,1.3903964977439989,False
pixel_l1_roundtrip,roundtrip,-0.16140162339395492,-0.6563841911994985,True
lpips_roundtrip,roundtrip,-0.5989906863008495,-1.613848072336298,True
latent_mse_roundtrip,roundtrip,-0.10132743241159711,0.22882339980537653,False
