feature,stage,sd15,amused,sdxl,pixart_dit,sign_sd15_dit_agree,sign_sdxl_dit_agree,sign_amused_dit_agree
diffpath_curvature,trajectory,-0.5420184461946088,-0.1751694756660747,-0.6653342541569809,-0.5254618340529076,True,True,True
lare_t200,score,-0.3311984372450435,-1.0849373229952588,-0.5521874700865261,0.087613764862627,False,False,False
latent_mse_ae,vae,0.1850594446301682,-0.4647430083150791,0.3402721874054077,-0.03603662681344443,False,False,True
latent_mse_roundtrip,roundtrip,-0.1013274324115971,0.2288233998053765,0.2443582107147266,0.007926027505718554,False,True,True
lpips_ae,vae,-0.3818946546403902,-2.201073359316531,-1.146542165952937,-1.1312100369485518,True,True,True
lpips_roundtrip,roundtrip,-0.5989906863008495,-1.613848072336298,-0.6088010747209414,-1.0509350143413625,True,True,True
path_length,trajectory,-0.3325134827817648,1.3903964977439989,-0.3575780031364763,0.3803828168589687,False,False,True
pixel_l1_roundtrip,roundtrip,-0.1614016233939549,-0.6563841911994985,0.0886861801042683,0.04130269002558625,False,True,False
pixel_mse_ae,vae,-0.2730186097803099,-0.9780515409943032,-0.6456808747273041,0.04771644669700819,False,False,False
score_norm_step0,score,0.4045426601591468,1.1430258192277802,0.7592699650961865,0.3028074667159069,True,True,True
