generator,stage_set,n_features,grouped_cv_auroc,paired_diff_mean,diff_ci_lo,diff_ci_hi,adds_information,baseline_auroc
sd15,vae,3.0,0.6390555555555556,,,,,
sd15,vae+score,5.0,0.62775,,,,,
sd15,vae+score+trajectory,7.0,0.750361111111111,,,,,
sd15,vae+score+trajectory+roundtrip,10.0,0.7912222222222223,,,,,
sd15,vae+score vs vae (paired diff),,,-0.014890833333333329,-0.05251388888888888,0.019173611111110992,False,
sd15,vae+score+trajectory vs vae+score (paired diff),,,0.1252436111111111,0.055791666666666524,0.20418750000000013,True,
sd15,vae+score+trajectory+roundtrip vs vae+score+trajectory (paired diff),,,0.040127777777777776,0.0030555555555554755,0.08027777777777778,True,
sd15,TARGETED: vae+trajectory vs vae,,0.757888888888889,0.11578138888888888,0.034368055555555506,0.20501388888888883,True,0.6390555555555556
sd15,TARGETED: vae+roundtrip vs vae,,0.6893888888888889,0.04606611111111111,-0.006395833333333331,0.10196527777777782,False,0.6390555555555556
sd15,TARGETED: score+trajectory vs score,,0.7443333333333333,0.12306472222222221,0.05276388888888881,0.19723611111111128,True,0.6207499999999999
amused,vae,3.0,0.9814166666666665,,,,,
amused,vae+score,5.0,0.9743333333333333,,,,,
amused,vae+score+trajectory,7.0,0.9772222222222222,,,,,
amused,vae+score+trajectory+roundtrip,10.0,0.97875,,,,,
amused,vae+score vs vae (paired diff),,,-0.006731666666666658,-0.019722222222222308,0.005833333333333249,False,
amused,vae+score+trajectory vs vae+score (paired diff),,,0.003846388888888897,-0.005840277777777797,0.015277777777777835,False,
amused,vae+score+trajectory+roundtrip vs vae+score+trajectory (paired diff),,,0.00014416666666666755,-0.009166666666666656,0.009458333333333353,False,
amused,TARGETED: vae+trajectory vs vae,,0.9736111111111111,-0.007727222222222219,-0.020833333333333263,0.002229166666666673,False,0.9814166666666665
amused,TARGETED: vae+roundtrip vs vae,,0.9821388888888889,0.0011302777777777956,-0.014722222222222192,0.017229166666666795,False,0.9814166666666665
amused,TARGETED: score+trajectory vs score,,0.9173888888888889,0.07093277777777778,0.024159722222222228,0.1261388888888889,True,0.8454444444444444
