feature,stage,sd15,amused,sdxl,sign_sd15_sdxl_agree,sign_amused_sdxl_agree
diffpath_curvature,trajectory,-0.5420184461946088,-0.1751694756660747,-0.6653342541569809,True,True
lare_t200,score,-0.3311984372450435,-1.0849373229952588,-0.5521874700865261,True,True
latent_mse_ae,vae,0.1850594446301682,-0.4647430083150791,0.34027218740540777,True,False
latent_mse_roundtrip,roundtrip,-0.1013274324115971,0.2288233998053765,0.24435821071472666,False,True
lpips_ae,vae,-0.3818946546403902,-2.201073359316531,-1.1465421659529367,True,True
lpips_roundtrip,roundtrip,-0.5989906863008495,-1.613848072336298,-0.6088010747209414,True,True
path_length,trajectory,-0.3325134827817648,1.3903964977439989,-0.3575780031364763,True,False
pixel_l1_roundtrip,roundtrip,-0.1614016233939549,-0.6563841911994985,0.08868618010426838,False,False
pixel_mse_ae,vae,-0.2730186097803099,-0.9780515409943032,-0.6456808747273041,True,True
score_norm_step0,score,0.4045426601591468,1.1430258192277802,0.7592699650961865,True,True
