feature,stage,condition,spearman_r_clean_vs_transformed,n
lpips_ae,vae,blur,0.9968854282536151,30
lpips_ae,vae,center_crop,0.9804226918798665,30
lpips_ae,vae,jpeg,0.985761957730812,30
lpips_ae,vae,resize,0.9995550611790878,30
pixel_mse_ae,vae,blur,0.9888765294771968,30
pixel_mse_ae,vae,center_crop,0.9733036707452726,30
pixel_mse_ae,vae,jpeg,0.9995550611790878,30
pixel_mse_ae,vae,resize,0.9959955506117909,30
latent_mse_ae,vae,blur,0.6658509454949945,30
latent_mse_ae,vae,center_crop,0.6600667408231368,30
latent_mse_ae,vae,jpeg,0.8402669632925472,30
latent_mse_ae,vae,resize,0.8487208008898777,30
lare_t200,score,blur,0.9982202447163514,30
lare_t200,score,center_crop,0.96440489432703,30
lare_t200,score,jpeg,0.9875417130144604,30
lare_t200,score,resize,0.9982202447163514,30
score_norm_step0,score,blur,0.9924360400444937,30
score_norm_step0,score,center_crop,0.9421579532814239,30
score_norm_step0,score,jpeg,0.9412680756395997,30
score_norm_step0,score,resize,0.9955506117908787,30
diffpath_curvature,trajectory,blur,0.9377085650723025,30
diffpath_curvature,trajectory,center_crop,0.8153503893214683,30
diffpath_curvature,trajectory,jpeg,0.6560622914349278,30
diffpath_curvature,trajectory,resize,0.9826473859844269,30
path_length,trajectory,blur,0.9964404894327029,30
path_length,trajectory,center_crop,0.9728587319243605,30
path_length,trajectory,jpeg,0.9870967741935484,30
path_length,trajectory,resize,0.9991101223581758,30
pixel_l1_roundtrip,roundtrip,blur,0.957730812013348,30
pixel_l1_roundtrip,roundtrip,center_crop,0.8024471635150167,30
pixel_l1_roundtrip,roundtrip,jpeg,0.9719688542825362,30
pixel_l1_roundtrip,roundtrip,resize,0.9915461624026695,30
lpips_roundtrip,roundtrip,blur,0.9243604004449388,30
lpips_roundtrip,roundtrip,center_crop,0.7877641824249165,30
lpips_roundtrip,roundtrip,jpeg,0.9301446051167965,30
lpips_roundtrip,roundtrip,resize,0.986206896551724,30
latent_mse_roundtrip,roundtrip,blur,0.9439377085650723,30
latent_mse_roundtrip,roundtrip,center_crop,0.6596218020022246,30
latent_mse_roundtrip,roundtrip,jpeg,0.9101223581757508,30
latent_mse_roundtrip,roundtrip,resize,0.971078976640712,30
