generator,condition,stage_set,n_content,grouped_cv_auroc
sd15,blur,vae,10,0.426
sd15,blur,vae+score,10,0.63
sd15,blur,vae+score+trajectory,10,0.726
sd15,blur,vae+score+trajectory+roundtrip,10,0.7140000000000001
sd15,center_crop,vae,10,0.66
sd15,center_crop,vae+score,10,0.7
sd15,center_crop,vae+score+trajectory,10,0.75
sd15,center_crop,vae+score+trajectory+roundtrip,10,0.708
sd15,clean,vae,10,0.49800000000000005
sd15,clean,vae+score,10,0.6559999999999999
sd15,clean,vae+score+trajectory,10,0.772
sd15,clean,vae+score+trajectory+roundtrip,10,0.726
sd15,jpeg,vae,10,0.524
sd15,jpeg,vae+score,10,0.678
sd15,jpeg,vae+score+trajectory,10,0.746
sd15,jpeg,vae+score+trajectory+roundtrip,10,0.698
sd15,resize,vae,10,0.576
sd15,resize,vae+score,10,0.682
sd15,resize,vae+score+trajectory,10,0.782
sd15,resize,vae+score+trajectory+roundtrip,10,0.764
amused,blur,vae,10,1.0
amused,blur,vae+score,10,0.9720000000000001
amused,blur,vae+score+trajectory,10,0.9800000000000001
amused,blur,vae+score+trajectory+roundtrip,10,0.96
amused,center_crop,vae,10,0.99
amused,center_crop,vae+score,10,1.0
amused,center_crop,vae+score+trajectory,10,1.0
amused,center_crop,vae+score+trajectory+roundtrip,10,0.9960000000000001
amused,clean,vae,10,1.0
amused,clean,vae+score,10,0.974
amused,clean,vae+score+trajectory,10,0.984
amused,clean,vae+score+trajectory+roundtrip,10,0.9760000000000002
amused,jpeg,vae,10,0.97
amused,jpeg,vae+score,10,0.9380000000000001
amused,jpeg,vae+score+trajectory,10,0.9880000000000001
amused,jpeg,vae+score+trajectory+roundtrip,10,0.9660000000000002
amused,resize,vae,10,0.976
amused,resize,vae+score,10,0.9780000000000001
amused,resize,vae+score+trajectory,10,0.974
amused,resize,vae+score+trajectory+roundtrip,10,0.966
