generator,condition,feature,stage,paired_cohens_d,univariate_auroc,n_pairs,clean_d,clean_auroc,d_retained_frac,auroc_change
sd15,blur,lpips_ae,vae,-0.3881177616006897,0.65,10,-0.4417071142243318,0.66,0.8786767274107671,-0.010000000000000009
sd15,blur,pixel_mse_ae,vae,-0.21609179765308628,0.56,10,-0.2476650524611675,0.52,0.8725163098534795,0.040000000000000036
sd15,blur,latent_mse_ae,vae,-0.18585700123620846,0.61,10,-0.0017159396029255225,0.52,108.31208797753662,0.08999999999999997
sd15,blur,lare_t200,score,-0.7576901914649091,0.78,10,-0.805438590458024,0.79,0.9407175176869014,-0.010000000000000009
sd15,blur,score_norm_step0,score,0.5966087082074102,0.7400000000000001,10,0.5880134138405005,0.71,1.0146175140984812,0.030000000000000138
sd15,blur,diffpath_curvature,trajectory,-1.0546626802853183,0.88,10,-1.0739384003270225,0.87,0.9820513727455554,0.010000000000000009
sd15,blur,path_length,trajectory,-0.08003817688299066,0.52,10,-0.13477433618136267,0.52,0.5938680846128239,0.0
sd15,blur,pixel_l1_roundtrip,roundtrip,-0.00540176238123441,0.53,10,-0.060524322135061245,0.54,0.08924944866264291,-0.010000000000000009
sd15,blur,lpips_roundtrip,roundtrip,-0.4870456782587449,0.69,10,-0.5187557221281681,0.68,0.9388728788584068,0.009999999999999898
sd15,blur,latent_mse_roundtrip,roundtrip,-0.06099593834974304,0.6,10,0.0007759846171248188,0.56,-78.60457153873156,0.039999999999999925
sd15,center_crop,lpips_ae,vae,-0.6057974295737819,0.72,10,-0.4417071142243318,0.66,1.371491221366457,0.05999999999999994
sd15,center_crop,pixel_mse_ae,vae,-0.35096878771889634,0.5700000000000001,10,-0.2476650524611675,0.52,1.4171106671334919,0.050000000000000044
sd15,center_crop,latent_mse_ae,vae,-0.18065077999502846,0.57,10,-0.0017159396029255225,0.52,105.27805272810019,0.04999999999999993
sd15,center_crop,lare_t200,score,-0.7755864880161158,0.76,10,-0.805438590458024,0.79,0.9629368361591263,-0.030000000000000027
sd15,center_crop,score_norm_step0,score,0.5762346333009519,0.74,10,0.5880134138405005,0.71,0.9799685172781728,0.030000000000000027
sd15,center_crop,diffpath_curvature,trajectory,-1.2481808753549966,0.88,10,-1.0739384003270225,0.87,1.1622462470612056,0.010000000000000009
sd15,center_crop,path_length,trajectory,0.027323825140771453,0.5700000000000001,10,-0.13477433618136267,0.52,-0.20273759763878504,0.050000000000000044
sd15,center_crop,pixel_l1_roundtrip,roundtrip,-0.41915110130296185,0.63,10,-0.060524322135061245,0.54,6.925333263008179,0.08999999999999997
sd15,center_crop,lpips_roundtrip,roundtrip,-0.4590507618167235,0.74,10,-0.5187557221281681,0.68,0.8849073701461871,0.05999999999999994
sd15,center_crop,latent_mse_roundtrip,roundtrip,-0.12987874678156588,0.62,10,0.0007759846171248188,0.56,-167.37283692915605,0.05999999999999994
sd15,clean,lpips_ae,vae,-0.4417071142243318,0.66,10,-0.4417071142243318,0.66,1.0,0.0
sd15,clean,pixel_mse_ae,vae,-0.2476650524611675,0.52,10,-0.2476650524611675,0.52,1.0,0.0
sd15,clean,latent_mse_ae,vae,-0.0017159396029255225,0.52,10,-0.0017159396029255225,0.52,1.0,0.0
sd15,clean,lare_t200,score,-0.805438590458024,0.79,10,-0.805438590458024,0.79,1.0,0.0
sd15,clean,score_norm_step0,score,0.5880134138405005,0.71,10,0.5880134138405005,0.71,1.0,0.0
sd15,clean,diffpath_curvature,trajectory,-1.0739384003270225,0.87,10,-1.0739384003270225,0.87,1.0,0.0
sd15,clean,path_length,trajectory,-0.13477433618136267,0.52,10,-0.13477433618136267,0.52,1.0,0.0
sd15,clean,pixel_l1_roundtrip,roundtrip,-0.060524322135061245,0.54,10,-0.060524322135061245,0.54,1.0,0.0
sd15,clean,lpips_roundtrip,roundtrip,-0.5187557221281681,0.68,10,-0.5187557221281681,0.68,1.0,0.0
sd15,clean,latent_mse_roundtrip,roundtrip,0.0007759846171248188,0.56,10,0.0007759846171248188,0.56,1.0,0.0
sd15,jpeg,lpips_ae,vae,-0.4209610927136901,0.6699999999999999,10,-0.4417071142243318,0.66,0.9530321771088673,0.009999999999999898
sd15,jpeg,pixel_mse_ae,vae,-0.2293994306860837,0.52,10,-0.2476650524611675,0.52,0.9262486911513375,0.0
sd15,jpeg,latent_mse_ae,vae,0.15149696428373793,0.51,10,-0.0017159396029255225,0.52,-88.28805164555283,-0.010000000000000009
sd15,jpeg,lare_t200,score,-0.8333116838963079,0.8,10,-0.805438590458024,0.79,1.034606106248812,0.010000000000000009
sd15,jpeg,score_norm_step0,score,0.5722199708559856,0.72,10,0.5880134138405005,0.71,0.9731410158122704,0.010000000000000009
sd15,jpeg,diffpath_curvature,trajectory,-0.7402478012697431,0.8,10,-1.0739384003270225,0.87,0.6892832969231122,-0.06999999999999995
sd15,jpeg,path_length,trajectory,-0.06171092202942693,0.5700000000000001,10,-0.13477433618136267,0.52,0.4578833313367909,0.050000000000000044
sd15,jpeg,pixel_l1_roundtrip,roundtrip,0.007888247411349986,0.51,10,-0.060524322135061245,0.54,-0.13033185888058693,-0.030000000000000027
sd15,jpeg,lpips_roundtrip,roundtrip,-0.4195622333428103,0.62,10,-0.5187557221281681,0.68,0.8087857452860052,-0.06000000000000005
sd15,jpeg,latent_mse_roundtrip,roundtrip,0.16991996710364762,0.51,10,0.0007759846171248188,0.56,218.9733705459726,-0.050000000000000044
sd15,resize,lpips_ae,vae,-0.4224397386064319,0.66,10,-0.4417071142243318,0.66,0.9563797480334119,0.0
sd15,resize,pixel_mse_ae,vae,-0.23446620324320028,0.54,10,-0.2476650524611675,0.52,0.9467068563497196,0.020000000000000018
sd15,resize,latent_mse_ae,vae,0.27549126927469747,0.57,10,-0.0017159396029255225,0.52,-160.5483484412911,0.04999999999999993
sd15,resize,lare_t200,score,-0.7835994284491159,0.79,10,-0.805438590458024,0.79,0.9728853791367397,0.0
sd15,resize,score_norm_step0,score,0.6069837164594012,0.72,10,0.5880134138405005,0.71,1.03226168344528,0.010000000000000009
sd15,resize,diffpath_curvature,trajectory,-1.0029491342518422,0.88,10,-1.0739384003270225,0.87,0.9338981956008244,0.010000000000000009
sd15,resize,path_length,trajectory,-0.11270060805600518,0.52,10,-0.13477433618136267,0.52,0.8362171259693434,0.0
sd15,resize,pixel_l1_roundtrip,roundtrip,0.032039500496593036,0.5299999999999999,10,-0.060524322135061245,0.54,-0.5293657056595569,-0.01000000000000012
sd15,resize,lpips_roundtrip,roundtrip,-0.5861624574971096,0.7,10,-0.5187557221281681,0.68,1.1299392613779928,0.019999999999999907
sd15,resize,latent_mse_roundtrip,roundtrip,0.04331953220060164,0.5700000000000001,10,0.0007759846171248188,0.56,55.82524607396129,0.010000000000000009
amused,blur,lpips_ae,vae,-2.149527542486822,1.0,10,-2.208920800565451,1.0,0.9731120925370321,0.0
amused,blur,pixel_mse_ae,vae,-1.0547901178268344,0.89,10,-1.1052627536345432,0.9,0.9543342651855998,-0.010000000000000009
amused,blur,latent_mse_ae,vae,-0.3780727708212838,0.6200000000000001,10,-0.48318348005466066,0.6699999999999999,0.7824621213840215,-0.04999999999999982
