generator,feature,stage,paired_cohens_d,d_ci_lo,d_ci_hi,univariate_auroc_direction_free,grouped_cv_auroc,auroc_ci_lo,auroc_ci_hi,frac_pairs_fake_higher
sd15,lpips_ae,vae,-0.38189465464039024,-0.6889220379892116,-0.11987499657370292,0.6497222222222222,0.6394444444444445,0.5422222222222222,0.7308541666666667,0.2833333333333333
sd15,pixel_mse_ae,vae,-0.27301860978030995,-0.6117071469153859,-0.02052934404580571,0.5908333333333333,0.5769444444444444,0.4997152777777778,0.6539166666666666,0.4166666666666667
sd15,latent_mse_ae,vae,0.1850594446301682,-0.08343867219153428,0.4028148245706077,0.5579166666666666,0.548888888888889,0.4577361111111111,0.6428125,0.55
sd15,lare_t200,score,-0.33119843724504355,-0.6266671436988885,-0.07222852105908777,0.635,0.618611111111111,0.5255416666666667,0.7161180555555555,0.38333333333333336
sd15,score_norm_step0,score,0.40454266015914686,0.1570304562600965,0.6842290373203717,0.6297222222222223,0.6191666666666666,0.5260486111111112,0.7108402777777778,0.7
sd15,diffpath_curvature,trajectory,-0.5420184461946088,-0.8705227690801389,-0.27311762062897965,0.7097222222222223,0.7011111111111111,0.6036041666666666,0.7903194444444444,0.26666666666666666
sd15,path_length,trajectory,-0.3325134827817648,-0.5506713318455069,-0.11118100999456006,0.5772222222222222,0.5719444444444444,0.4722152777777778,0.6669583333333332,0.4166666666666667
sd15,pixel_l1_roundtrip,roundtrip,-0.16140162339395492,-0.46072890443669057,0.06231481203894362,0.5858333333333332,0.5722222222222222,0.49470138888888887,0.6536180555555556,0.4166666666666667
sd15,lpips_roundtrip,roundtrip,-0.5989906863008495,-0.941552810302212,-0.33507895934271625,0.7069444444444444,0.6994444444444444,0.6113541666666669,0.7816805555555555,0.21666666666666667
sd15,latent_mse_roundtrip,roundtrip,-0.10132743241159711,-0.38633046288404344,0.13407282760648256,0.5758333333333333,0.5363888888888889,0.4493958333333333,0.6161319444444444,0.38333333333333336
amused,lpips_ae,vae,-2.201073359316531,-2.8525698213654276,-1.8099804697092747,0.9813888888888889,0.98,0.9508194444444443,0.9994444444444445,0.016666666666666666
amused,pixel_mse_ae,vae,-0.9780515409943032,-1.2730889623914192,-0.8055396094822117,0.8388888888888889,0.8375,0.7802708333333332,0.8975069444444445,0.05
amused,latent_mse_ae,vae,-0.46474300831507914,-0.7478623206335205,-0.23351539232004775,0.7529166666666667,0.7458333333333332,0.659986111111111,0.8225277777777777,0.26666666666666666
amused,lare_t200,score,-1.0849373229952588,-1.4151986790880797,-0.8379007248046014,0.8247222222222222,0.8222222222222222,0.7499861111111111,0.8991736111111112,0.15
amused,score_norm_step0,score,1.1430258192277802,0.9122216408238225,1.4435240462454846,0.856388888888889,0.8519444444444444,0.7788680555555555,0.9138888888888889,0.8666666666666667
amused,diffpath_curvature,trajectory,-0.17516947566607471,-0.4371212073806753,0.07885587168010744,0.5708333333333333,0.5544444444444444,0.46360416666666665,0.6427986111111111,0.43333333333333335
amused,path_length,trajectory,1.3903964977439989,1.1439370396629385,1.7933697163180156,0.8983333333333333,0.8955555555555555,0.8358333333333333,0.9480625,0.9
amused,pixel_l1_roundtrip,roundtrip,-0.6563841911994985,-0.9726704538440628,-0.4048266580193307,0.7133333333333334,0.7019444444444445,0.6183263888888888,0.7819444444444444,0.35
amused,lpips_roundtrip,roundtrip,-1.613848072336298,-2.1377587777397062,-1.2536783423990905,0.9338888888888889,0.9322222222222223,0.8772152777777776,0.9755555555555555,0.08333333333333333
amused,latent_mse_roundtrip,roundtrip,0.22882339980537653,-0.04361528158377212,0.48860116858552266,0.586388888888889,0.5758333333333333,0.4841458333333333,0.6727847222222223,0.6166666666666667
