generator,vae_feature,subset,n,pearson_r,pearson_p,spearman_r,spearman_p
sd15,lpips_ae,pooled,120,0.6380871588832614,4.556134371524115e-15,0.6443989165914299,2.0054503817240912e-15
sd15,lpips_ae,real_only,60,0.533844534271606,1.1204100215404046e-05,0.5166435120866908,2.37953614723927e-05
sd15,lpips_ae,generated_only,60,0.668676472992184,5.2565688872360186e-09,0.6208946929702697,1.206100537826535e-07
sd15,pixel_mse_ae,pooled,120,0.4049452586388562,4.483430102457362e-06,0.4192582818251267,1.8777345646554284e-06
sd15,pixel_mse_ae,real_only,60,0.34144756877977944,0.007585908029407381,0.3265907196443457,0.010871614703170785
sd15,pixel_mse_ae,generated_only,60,0.4402856455598757,0.0004309651388446459,0.43967768824673525,0.0004398636765458295
sd15,latent_mse_ae,pooled,120,-0.1896640778213355,0.03800593342954964,-0.15167746315298775,0.09818139882254069
sd15,latent_mse_ae,real_only,60,-0.34470651419447607,0.006994121355756218,-0.2918588496804668,0.023655285020854382
sd15,latent_mse_ae,generated_only,60,-0.06953222068709647,0.5975659473726215,0.0010002778549597113,0.9939480017960649
sdxl,lpips_ae,pooled,120,0.6261632089142098,2.041134921036895e-14,0.6185221195916383,5.1612633988513276e-14
sdxl,lpips_ae,real_only,60,0.533844534271606,1.1204100215404046e-05,0.5166435120866908,2.37953614723927e-05
sdxl,lpips_ae,generated_only,60,0.4710720130307418,0.0001454214279689305,0.41967213114754104,0.0008440352526394448
sdxl,pixel_mse_ae,pooled,120,0.40597893709648447,4.2159277263233884e-06,0.43141884853114787,8.68083084553515e-07
sdxl,pixel_mse_ae,real_only,60,0.34144756877977944,0.007585908029407381,0.3265907196443457,0.010871614703170785
sdxl,pixel_mse_ae,generated_only,60,0.26917094176653317,0.03755469191953635,0.31353153653792726,0.014712937225921112
sdxl,latent_mse_ae,pooled,120,-0.3449707981940017,0.00011406072280311212,-0.2306734704184553,0.01125328682552444
sdxl,latent_mse_ae,real_only,60,-0.34470651419447607,0.006994121355756218,-0.2918588496804668,0.023655285020854382
sdxl,latent_mse_ae,generated_only,60,-0.27949313295390843,0.030563911525151016,-0.10717163581897107,0.41505162236529985
pixart_dit,lpips_ae,pooled,120,0.554901088804304,4.813614869243179e-11,0.5426904646155982,1.5244037014363814e-10
pixart_dit,lpips_ae,real_only,60,0.533844534271606,1.1204100215404046e-05,0.5166435120866908,2.37953614723927e-05
pixart_dit,lpips_ae,generated_only,60,0.4004099295387522,0.0015239462547869942,0.33259238677410397,0.009419841168765907
pixart_dit,pixel_mse_ae,pooled,120,0.29484611204973893,0.0010790522663455154,0.2644072505035071,0.0035201173582777587
pixart_dit,pixel_mse_ae,real_only,60,0.34144756877977944,0.007585908029407381,0.3265907196443457,0.010871614703170785
pixart_dit,pixel_mse_ae,generated_only,60,0.2854273931408676,0.02706278331730004,0.22722978605168107,0.08080955688356588
pixart_dit,latent_mse_ae,pooled,120,-0.24161818911703845,0.00784654556305907,-0.19328907069756154,0.034412625786988796
pixart_dit,latent_mse_ae,real_only,60,-0.34470651419447607,0.006994121355756218,-0.2918588496804668,0.023655285020854382
pixart_dit,latent_mse_ae,generated_only,60,-0.12281314497061827,0.3498706545014576,-0.10180747163349313,0.438917415847237
amused,lpips_ae,pooled,120,0.3189281982419362,0.000384799400737114,0.27682477949857626,0.0022076816642647252
amused,lpips_ae,real_only,60,0.533844534271606,1.1204100215404046e-05,0.5166435120866908,2.37953614723927e-05
amused,lpips_ae,generated_only,60,0.11883954097228366,0.36579741421039424,0.06640733537093638,0.6141732709983753
amused,pixel_mse_ae,pooled,120,0.2705350018320658,0.0028036998012487997,0.22080700048614485,0.015372002715294196
amused,pixel_mse_ae,real_only,60,0.34144756877977944,0.007585908029407381,0.3265907196443457,0.010871614703170785
amused,pixel_mse_ae,generated_only,60,0.018887723067312935,0.8861016247415591,-0.045012503473187006,0.7327241986572604
amused,latent_mse_ae,pooled,120,-0.1424459315415888,0.12065990080554077,-0.02045986071904648,0.8244665895356551
amused,latent_mse_ae,real_only,60,-0.34470651419447607,0.006994121355756218,-0.2918588496804668,0.023655285020854382
amused,latent_mse_ae,generated_only,60,0.05824912700422394,0.6584312233407973,0.05690627693991516,0.6658345633402075
