generator,feature_set,auroc,logloss,brier,metric,delta_mean,delta_ci_lo,delta_ci_hi,improves
sd15,VAE,0.6447222222222223,0.6700335570924663,0.2382303976333867,,,,,
sd15,VAE+curvature,0.69,0.6447252351646428,0.22551327586084746,,,,,
sd15,VAE+score,0.6294444444444445,0.6703904190980922,0.23840246576887442,,,,,
sd15,VAE+score+curvature,0.6816666666666666,0.648159360639147,0.2271681793060362,,,,,
sd15,Δ(VAE+curvature - VAE),,,,auroc,0.04359138888888889,-0.014743055555555525,0.09778472222222229,False
sd15,Δ(VAE+curvature - VAE),,,,logloss,-0.02529954832031481,-0.05482940186906656,0.006071256072544002,False
sd15,Δ(VAE+curvature - VAE),,,,brier,-0.012710148549517556,-0.02663165824278268,0.001296609963482377,False
sd15,Δ(VAE+score+curvature - VAE+score),,,,auroc,0.050285,0.009437499999999922,0.09111111111111082,True
sd15,Δ(VAE+score+curvature - VAE+score),,,,logloss,-0.02211125282678332,-0.04416385091414842,0.0005957733539380955,False
sd15,Δ(VAE+score+curvature - VAE+score),,,,brier,-0.011170779314585221,-0.02117613179803865,-0.0008695389839333546,True
sdxl,VAE,0.855,0.5044086550637022,0.16398237872062932,,,,,
sdxl,VAE+curvature,0.8538888888888889,0.5015511055782654,0.16309842145699757,,,,,
sdxl,VAE+score,0.8547222222222223,0.5025725914873074,0.1641529957973654,,,,,
sdxl,VAE+score+curvature,0.861388888888889,0.4953898129837672,0.16050601017705618,,,,,
sdxl,Δ(VAE+curvature - VAE),,,,auroc,-0.0011361111111111157,-0.02138888888888879,0.018055555555555602,False
sdxl,Δ(VAE+curvature - VAE),,,,logloss,-0.0030071265811460364,-0.0201868570486519,0.013971078236791626,False
sdxl,Δ(VAE+curvature - VAE),,,,brier,-0.000953441369954537,-0.008300973984769013,0.006593506660965505,False
sdxl,Δ(VAE+score+curvature - VAE+score),,,,auroc,0.006384999999999998,-0.01305555555555549,0.025555555555555665,False
sdxl,Δ(VAE+score+curvature - VAE+score),,,,logloss,-0.007144491588657591,-0.02073614576388815,0.007225309307681108,False
sdxl,Δ(VAE+score+curvature - VAE+score),,,,brier,-0.003626265132756564,-0.009230558562903265,0.00270794067688488,False
pixart_dit,VAE,0.8802777777777778,0.5072394888224961,0.1633650751654038,,,,,
pixart_dit,VAE+curvature,0.8586111111111111,0.5064659242087998,0.16417725085981225,,,,,
pixart_dit,VAE+score,0.8963888888888889,0.4924881725054159,0.1573820364510997,,,,,
pixart_dit,VAE+score+curvature,0.8994444444444444,0.47485507024661955,0.1501618289011735,,,,,
pixart_dit,Δ(VAE+curvature - VAE),,,,auroc,-0.02109694444444444,-0.04194444444444435,-0.003611111111111229,False
pixart_dit,Δ(VAE+curvature - VAE),,,,logloss,-0.0007598573006295464,-0.013605156439322693,0.013710342235024951,False
pixart_dit,Δ(VAE+curvature - VAE),,,,brier,0.000814076899200422,-0.0050422337339009115,0.007797924648470641,False
pixart_dit,Δ(VAE+score+curvature - VAE+score),,,,auroc,0.003281944444444451,-0.02473611111111109,0.030284722222222286,False
pixart_dit,Δ(VAE+score+curvature - VAE+score),,,,logloss,-0.01769001117608142,-0.03579435696183452,0.003667435749974222,False
pixart_dit,Δ(VAE+score+curvature - VAE+score),,,,brier,-0.007255641900941758,-0.015662654780538524,0.0028958394119585834,False
amused,VAE,0.9813888888888889,0.3018125629612088,0.08077001685854159,,,,,
amused,VAE+curvature,0.9813888888888889,0.30228002792722325,0.08078587008080135,,,,,
amused,VAE+score,0.9752777777777777,0.29095219662351546,0.08180649675734619,,,,,
amused,VAE+score+curvature,0.9822222222222221,0.27772097014781333,0.07575949416539134,,,,,
amused,Δ(VAE+curvature - VAE),,,,auroc,-3.0833333333330936e-05,-0.0022222222222221255,0.0022222222222222365,False
amused,Δ(VAE+curvature - VAE),,,,logloss,0.0005125453325250795,-0.0024042012721671377,0.0036682500822815406,False
amused,Δ(VAE+curvature - VAE),,,,brier,3.305006240061109e-05,-0.0012835156361101767,0.001428601860334772,False
amused,Δ(VAE+score+curvature - VAE+score),,,,auroc,0.006927500000000002,0.0013819444444443333,0.015000000000000013,True
amused,Δ(VAE+score+curvature - VAE+score),,,,logloss,-0.013183979895840343,-0.022926318649794435,-0.0039029182372777474,True
amused,Δ(VAE+score+curvature - VAE+score),,,,brier,-0.006033105402654936,-0.010519165866595941,-0.001830160286346727,True
