feature,stage,d_pixart_dit,d_amused,contribution_to_cosine
lpips_ae,vae,-1.1312100369485518,-2.201073359316531,0.3965067429318289
lpips_roundtrip,roundtrip,-1.0509350143413625,-1.613848072336298,0.27009175056183826
path_length,trajectory,0.3803828168589687,1.3903964977439989,0.08422332165687994
score_norm_step0,score,0.3028074667159069,1.1430258192277802,0.05511825129945509
diffpath_curvature,trajectory,-0.5254618340529076,-0.1751694756660747,0.014657922373473886
latent_mse_ae,vae,-0.0360366268134444,-0.4647430083150791,0.002667041707432204
latent_mse_roundtrip,roundtrip,0.0079260275057185,0.2288233998053765,0.00028882103446176025
pixel_l1_roundtrip,roundtrip,0.0413026900255862,-0.6563841911994985,-0.004317270503305952
pixel_mse_ae,vae,0.0477164466970081,-0.9780515409943032,-0.007431947743216678
lare_t200,score,0.087613764862627,-1.0849373229952588,-0.015137348254864283
