generator,curvature_variant,paired_cohens_d,d_ci_lo,d_ci_hi,univariate_auroc_direction_free,frac_matched_established_direction,effect_retention_vs_raw
sd15,raw,-0.5420184461946088,-0.8705227690801389,-0.27311762062897965,0.7097222222222223,0.7333333333333333,1.0
sd15,vae_residualized,-0.3372065661854976,-0.6289949635942728,-0.09113758806203735,0.6330555555555555,0.6666666666666666,0.6221311627903587
sd15,svae_residualized_label_informed,-0.43405915661759004,-0.7577838568403801,-0.159163425148713,0.6708333333333333,0.7333333333333333,0.800819897669945
sdxl,raw,-0.6653342541569809,-0.8888731322638298,-0.43981851557371554,0.75,0.75,1.0
sdxl,vae_residualized,-0.06995416634464487,-0.3061218220158542,0.19150552905278603,0.52,0.48333333333333334,0.10514138706592813
sdxl,svae_residualized_label_informed,-0.06808442900820466,-0.29488570195938596,0.2008876070947632,0.5283333333333333,0.5,0.1023311644977147
pixart_dit,raw,-0.5254618340529076,-0.8414775657448592,-0.26923883811309113,0.6791666666666667,0.7166666666666667,1.0
pixart_dit,vae_residualized,-0.06007648107091629,-0.33407752143793445,0.18607177700398544,0.5266666666666666,0.5333333333333333,0.1143308175351761
pixart_dit,svae_residualized_label_informed,0.007925656570690423,-0.2621938412212238,0.26218434942205715,0.5069444444444444,0.5,0.015083220239887724
amused,raw,-0.17516947566607471,-0.4371212073806753,0.07885587168010744,0.5708333333333333,0.5666666666666667,1.0
amused,vae_residualized,0.16614864414535613,-0.09416390840392833,0.4551453036253668,0.5525,0.36666666666666664,0.9485022633802735
amused,svae_residualized_label_informed,0.14306985617236637,-0.11800579496049018,0.4315400206826919,0.5494444444444444,0.36666666666666664,0.8167510670882149
