generator,predictor,subset,cross_fitted_r2,mae,pearson_pred_obs
sd15,raw_VAE_features,pooled,0.3973275551479839,0.022874229213653414,0.630778240856641
sd15,raw_VAE_features,real_only,0.20125448869657325,0.02169254177443876,0.541954895410435
sd15,raw_VAE_features,generated_only,0.37989010300512893,0.024055916652868072,0.644756901847463
sd15,S_vae_learned_discriminant,pooled,0.39802241166002705,0.022833677550622357,0.6309026455271749
sdxl,raw_VAE_features,pooled,0.4094087711271823,0.01947141983908541,0.6404716743914642
sdxl,raw_VAE_features,real_only,0.2838255410520374,0.02030496456161512,0.5420233726264077
sdxl,raw_VAE_features,generated_only,0.2535267722662131,0.018637875116555694,0.5076720154075522
sdxl,S_vae_learned_discriminant,pooled,0.4204777224210605,0.01975898855807002,0.6484641291894897
pixart_dit,raw_VAE_features,pooled,0.2986319043261475,0.01925798775062378,0.547776328251214
pixart_dit,raw_VAE_features,real_only,0.2967717402534875,0.020562952184585,0.5456047832983576
pixart_dit,raw_VAE_features,generated_only,0.09821192744881713,0.017953023316662573,0.35958820611225895
pixart_dit,S_vae_learned_discriminant,pooled,0.220747128504443,0.020026684395432662,0.4700509781499485
amused,raw_VAE_features,pooled,0.09484747500111135,0.02268362632698,0.3148840153918075
amused,raw_VAE_features,real_only,0.22114193770516677,0.021543238289578326,0.4929262934323308
amused,raw_VAE_features,generated_only,-0.0905990064540132,0.02382401436438168,-0.10225700479471292
amused,S_vae_learned_discriminant,pooled,0.034221308605876466,0.023581312529430333,0.19283226759303576
